raceId,subjectId,year,round,points,position,seriesId,typ
1,907,1895,1,10,1,1,driver
1,917,1895,1,6,2,1,driver
1,899,1895,1,4,3,1,driver
1,895,1895,1,3,4,1,driver
1,914,1895,1,2,5,1,driver
1,905,1895,1,1,6,1,driver
1,912,1895,1,0,7,1,driver
1,902,1895,1,0,8,1,driver
1,920,1895,1,0,9,1,driver
1,916,1895,1,0,10,1,driver
1,893,1895,1,0,11,1,driver
1,903,1895,1,0,12,1,driver
1,918,1895,1,0,13,1,driver
1,915,1895,1,0,14,1,driver
1,913,1895,1,0,15,1,driver
1,908,1895,1,0,16,1,driver
1,911,1895,1,0,17,1,driver
1,909,1895,1,0,18,1,driver
1,901,1895,1,0,19,1,driver
1,889,1895,1,0,20,1,driver
1,3,1895,1,10,1,1,team
1,4,1895,1,6,2,1,team
1,2,1895,1,4,3,1,team
1,5,1895,1,3,4,1,team
1,1,1895,1,1,5,1,team
1,3,1895,1,10,1,1,engine
1,4,1895,1,6,2,1,engine
1,5,1895,1,5,3,1,engine
1,2,1895,1,4,4,1,engine
1,1,1895,1,1,5,1,engine
1,3,1895,1,10,1,1,chassi
1,4,1895,1,6,2,1,chassi
1,5,1895,1,5,3,1,chassi
1,2,1895,1,4,4,1,chassi
1,1,1895,1,1,5,1,chassi
1,3,1895,1,10,1,1,pneu
1,4,1895,1,6,2,1,pneu
1,5,1895,1,5,3,1,pneu
1,2,1895,1,4,4,1,pneu
1,1,1895,1,1,5,1,pneu
2,923,1895,1,10,1,5,driver
2,924,1895,1,6,2,5,driver
2,919,1895,1,4,3,5,driver
2,922,1895,1,3,4,5,driver
2,910,1895,1,2,5,5,driver
2,906,1895,1,1,6,5,driver
2,929,1895,1,0,7,5,driver
2,891,1895,1,0,8,5,driver
2,932,1895,1,0,9,5,driver
2,930,1895,1,0,10,5,driver
2,904,1895,1,0,11,5,driver
2,896,1895,1,0,12,5,driver
2,897,1895,1,0,13,5,driver
2,927,1895,1,0,14,5,driver
2,928,1895,1,0,15,5,driver
2,887,1895,1,0,16,5,driver
2,926,1895,1,0,17,5,driver
2,925,1895,1,0,18,5,driver
2,921,1895,1,0,19,5,driver
2,900,1895,1,0,20,5,driver
2,8,1895,1,10,1,5,team
2,6,1895,1,6,2,5,team
2,7,1895,1,4,3,5,team
2,9,1895,1,3,4,5,team
2,10,1895,1,0,5,5,team
2,8,1895,1,12,1,5,engine
2,6,1895,1,6,2,5,engine
2,7,1895,1,5,3,5,engine
2,9,1895,1,3,4,5,engine
2,10,1895,1,0,5,5,engine
2,8,1895,1,12,1,5,chassi
2,6,1895,1,6,2,5,chassi
2,7,1895,1,5,3,5,chassi
2,9,1895,1,3,4,5,chassi
2,10,1895,1,0,5,5,chassi
2,8,1895,1,12,1,5,pneu
2,6,1895,1,6,2,5,pneu
2,7,1895,1,5,3,5,pneu
2,9,1895,1,3,4,5,pneu
2,10,1895,1,0,5,5,pneu
3,931,1895,1,10,1,6,driver
3,881,1895,1,8,2,6,driver
3,882,1895,1,6,3,6,driver
3,935,1895,1,5,4,6,driver
3,898,1895,1,4,5,6,driver
3,933,1895,1,3,6,6,driver
3,894,1895,1,2,7,6,driver
3,934,1895,1,1,8,6,driver
3,936,1895,1,0,9,6,driver
3,890,1895,1,0,10,6,driver
3,883,1895,1,0,11,6,driver
3,875,1895,1,0,12,6,driver
3,14,1895,1,10,1,6,team
3,16,1895,1,8,2,6,team
3,11,1895,1,6,3,6,team
3,15,1895,1,4,4,6,team
3,0,1895,1,3,5,6,team
3,18,1895,1,1,6,6,team
3,12,1895,1,0,7,6,team
3,13,1895,1,0,8,6,team
3,17,1895,1,0,9,6,team
3,19,1895,1,0,10,6,team
3,14,1895,1,12,1,6,engine
3,11,1895,1,11,2,6,engine
3,16,1895,1,8,3,6,engine
3,15,1895,1,4,4,6,engine
3,0,1895,1,3,5,6,engine
3,18,1895,1,1,6,6,engine
3,12,1895,1,0,7,6,engine
3,13,1895,1,0,8,6,engine
3,17,1895,1,0,9,6,engine
3,19,1895,1,0,10,6,engine
3,14,1895,1,12,1,6,chassi
3,11,1895,1,11,2,6,chassi
3,16,1895,1,8,3,6,chassi
3,15,1895,1,4,4,6,chassi
3,0,1895,1,3,5,6,chassi
3,18,1895,1,1,6,6,chassi
3,12,1895,1,0,7,6,chassi
3,13,1895,1,0,8,6,chassi
3,17,1895,1,0,9,6,chassi
3,19,1895,1,0,10,6,chassi
3,14,1895,1,12,1,6,pneu
3,11,1895,1,11,2,6,pneu
3,16,1895,1,8,3,6,pneu
3,15,1895,1,4,4,6,pneu
3,0,1895,1,3,5,6,pneu
3,18,1895,1,1,6,6,pneu
3,12,1895,1,0,7,6,pneu
3,13,1895,1,0,8,6,pneu
3,17,1895,1,0,9,6,pneu
3,19,1895,1,0,10,6,pneu
4,907,1895,2,10,1,1,driver
4,901,1895,2,10,2,1,driver
4,899,1895,2,8,3,1,driver
4,905,1895,2,7,4,1,driver
4,917,1895,2,6,5,1,driver
4,909,1895,2,3,6,1,driver
4,895,1895,2,3,7,1,driver
4,914,1895,2,2,8,1,driver
4,903,1895,2,2,9,1,driver
4,911,1895,2,1,10,1,driver
4,915,1895,2,0,11,1,driver
4,913,1895,2,0,12,1,driver
4,918,1895,2,0,13,1,driver
4,908,1895,2,0,14,1,driver
4,893,1895,2,0,15,1,driver
4,916,1895,2,0,16,1,driver
4,920,1895,2,0,17,1,driver
4,902,1895,2,0,18,1,driver
4,912,1895,2,0,19,1,driver
4,889,1895,2,0,20,1,driver
4,2,1895,2,14,1,1,team
4,3,1895,2,10,2,1,team
4,1,1895,2,7,3,1,team
4,4,1895,2,7,4,1,team
4,5,1895,2,5,5,1,team
4,2,1895,2,18,1,1,engine
4,1,1895,2,10,2,1,engine
4,3,1895,2,10,3,1,engine
4,4,1895,2,7,4,1,engine
4,5,1895,2,7,5,1,engine
4,2,1895,2,18,1,1,chassi
4,1,1895,2,10,2,1,chassi
4,3,1895,2,10,3,1,chassi
4,4,1895,2,7,4,1,chassi
4,5,1895,2,7,5,1,chassi
4,2,1895,2,18,1,1,pneu
4,1,1895,2,10,2,1,pneu
4,3,1895,2,10,3,1,pneu
4,4,1895,2,7,4,1,pneu
4,5,1895,2,7,5,1,pneu
5,923,1895,2,16,1,5,driver
5,922,1895,2,13,2,5,driver
5,924,1895,2,8,3,5,driver
5,906,1895,2,5,4,5,driver
5,919,1895,2,4,5,5,driver
5,910,1895,2,3,6,5,driver
5,928,1895,2,3,7,5,driver
5,929,1895,2,0,8,5,driver
5,891,1895,2,0,9,5,driver
5,932,1895,2,0,10,5,driver
5,930,1895,2,0,11,5,driver
5,904,1895,2,0,12,5,driver
5,896,1895,2,0,13,5,driver
5,897,1895,2,0,14,5,driver
5,927,1895,2,0,15,5,driver
5,887,1895,2,0,16,5,driver
5,926,1895,2,0,17,5,driver
5,925,1895,2,0,18,5,driver
5,921,1895,2,0,19,5,driver
5,900,1895,2,0,20,5,driver
5,8,1895,2,16,1,5,team
5,9,1895,2,13,2,5,team
5,7,1895,2,8,3,5,team
5,6,1895,2,8,4,5,team
5,10,1895,2,3,5,5,team
5,8,1895,2,19,1,5,engine
5,9,1895,2,13,2,5,engine
5,7,1895,2,9,3,5,engine
5,6,1895,2,8,4,5,engine
5,10,1895,2,3,5,5,engine
5,8,1895,2,19,1,5,chassi
5,9,1895,2,13,2,5,chassi
5,7,1895,2,9,3,5,chassi
5,6,1895,2,8,4,5,chassi
5,10,1895,2,3,5,5,chassi
5,8,1895,2,19,1,5,pneu
5,9,1895,2,13,2,5,pneu
5,7,1895,2,9,3,5,pneu
5,6,1895,2,8,4,5,pneu
5,10,1895,2,3,5,5,pneu
7,905,1895,3,17,1,1,driver
7,901,1895,3,14,2,1,driver
7,899,1895,3,11,3,1,driver
7,907,1895,3,10,4,1,driver
7,917,1895,3,6,5,1,driver
7,918,1895,3,6,6,1,driver
7,909,1895,3,5,7,1,driver
7,895,1895,3,3,8,1,driver
7,914,1895,3,2,9,1,driver
7,903,1895,3,2,10,1,driver
7,908,1895,3,1,11,1,driver
7,911,1895,3,1,12,1,driver
7,915,1895,3,0,13,1,driver
7,913,1895,3,0,14,1,driver
