team_id,season,finance_employees,income
1,1859,1000,7500000
2,1859,1000,7500000
3,1859,1000,7500000
4,1859,1000,7500000
5,1859,1000,7500000
6,1859,1000,7500000
7,1859,1000,7500000
8,1859,1000,7500000
9,1859,1000,7500000
10,1859,1000,7500000
11,1859,1000,7500000
12,1859,1000,7500000
13,1859,1000,7500000
14,1859,1000,7500000
15,1859,1000,7500000
16,1859,1000,7500000
17,1859,1000,7500000
18,1859,1000,7500000
19,1859,1000,7500000
20,1859,1000,7500000
21,1859,1000,7500000
22,1859,1000,7500000
23,1859,1000,7500000
24,1859,1000,7500000
25,1859,1000,7500000
26,1859,1000,7500000
1,1860,1000,7500000
2,1860,1000,7500000
3,1860,1000,7500000
4,1860,1000,7500000
5,1860,1000,7500000
6,1860,1000,7500000
7,1860,1000,7500000
8,1860,1000,7500000
9,1860,1000,7500000
10,1860,1000,7500000
11,1860,1000,7500000
12,1860,1000,7500000
13,1860,1000,7500000
14,1860,1000,7500000
15,1860,1000,7500000
16,1860,1000,7500000
17,1860,1000,7500000
18,1860,1000,7500000
19,1860,1000,7500000
20,1860,1000,7500000
21,1860,1000,7500000
22,1860,1000,7500000
23,1860,1000,7500000
24,1860,1000,7500000
25,1860,1000,7500000
26,1860,1000,7500000
1,1861,1000,7500000
2,1861,1000,7500000
3,1861,1000,7500000
4,1861,1000,7500000
5,1861,1000,7500000
6,1861,1000,7500000
7,1861,1000,7500000
8,1861,1000,7500000
9,1861,1000,7500000
10,1861,1000,7500000
11,1861,1000,7500000
12,1861,1000,7500000
13,1861,1000,7500000
14,1861,1000,7500000
15,1861,1000,7500000
16,1861,1000,7500000
17,1861,1000,7500000
18,1861,1000,7500000
19,1861,1000,7500000
20,1861,1000,7500000
21,1861,1000,7500000
22,1861,1000,7500000
23,1861,1000,7500000
24,1861,1000,7500000
25,1861,1000,7500000
26,1861,1000,7500000
1,1862,1000,7500000
2,1862,1000,7500000
3,1862,1000,7500000
4,1862,1000,7500000
5,1862,1000,7500000
6,1862,1000,7500000
7,1862,1000,7500000
8,1862,1000,7500000
9,1862,1000,7500000
10,1862,1000,7500000
11,1862,1000,7500000
12,1862,1000,7500000
13,1862,1000,7500000
14,1862,1000,7500000
15,1862,1000,7500000
16,1862,1000,7500000
17,1862,1000,7500000
18,1862,1000,7500000
19,1862,1000,7500000
20,1862,1000,7500000
21,1862,1000,7500000
22,1862,1000,7500000
23,1862,1000,7500000
24,1862,1000,7500000
25,1862,1000,7500000
26,1862,1000,7500000
1,1863,1000,7500000
2,1863,1000,7500000
3,1863,1000,7500000
4,1863,1000,7500000
5,1863,1000,7500000
6,1863,1000,7500000
7,1863,1000,7500000
8,1863,1000,7500000
9,1863,1000,7500000
10,1863,1000,7500000
11,1863,1000,7500000
12,1863,1000,7500000
13,1863,1000,7500000
14,1863,1000,7500000
15,1863,1000,7500000
16,1863,1000,7500000
17,1863,1000,7500000
18,1863,1000,7500000
19,1863,1000,7500000
20,1863,1000,7500000
21,1863,1000,7500000
22,1863,1000,7500000
23,1863,1000,7500000
24,1863,1000,7500000
25,1863,1000,7500000
26,1863,1000,7500000
1,1864,1000,7500000
2,1864,1000,7500000
3,1864,1000,7500000
4,1864,1000,7500000
5,1864,1000,7500000
6,1864,1000,7500000
7,1864,1000,7500000
8,1864,1000,7500000
9,1864,1000,7500000
10,1864,1000,7500000
11,1864,1000,7500000
12,1864,1000,7500000
13,1864,1000,7500000
14,1864,1000,7500000
15,1864,1000,7500000
16,1864,1000,7500000
17,1864,1000,7500000
18,1864,1000,7500000
19,1864,1000,7500000
20,1864,1000,7500000
21,1864,1000,7500000
22,1864,1000,7500000
23,1864,1000,7500000
24,1864,1000,7500000
25,1864,1000,7500000
26,1864,1000,7500000
1,1865,1000,7500000
2,1865,1000,7500000
3,1865,1000,7500000
4,1865,1000,7500000
5,1865,1000,7500000
6,1865,1000,7500000
7,1865,1000,7500000
8,1865,1000,7500000
9,1865,1000,7500000
10,1865,1000,7500000
11,1865,1000,7500000
12,1865,1000,7500000
13,1865,1000,7500000
14,1865,1000,7500000
15,1865,1000,7500000
16,1865,1000,7500000
17,1865,1000,7500000
18,1865,1000,7500000
19,1865,1000,7500000
20,1865,1000,7500000
21,1865,1000,7500000
22,1865,1000,7500000
23,1865,1000,7500000
24,1865,1000,7500000
25,1865,1000,7500000
26,1865,1000,7500000
1,1866,1000,7500000
2,1866,1000,7500000
3,1866,1000,7500000
4,1866,1000,7500000
5,1866,1000,7500000
6,1866,1000,7500000
7,1866,1000,7500000
8,1866,1000,7500000
9,1866,1000,7500000
10,1866,1000,7500000
11,1866,1000,7500000
12,1866,1000,7500000
13,1866,1000,7500000
14,1866,1000,7500000
15,1866,1000,7500000
16,1866,1000,7500000
17,1866,1000,7500000
18,1866,1000,7500000
19,1866,1000,7500000
20,1866,1000,7500000
21,1866,1000,7500000
22,1866,1000,7500000
23,1866,1000,7500000
24,1866,1000,7500000
25,1866,1000,7500000
26,1866,1000,7500000
1,1867,1000,7500000
2,1867,1000,7500000
3,1867,1000,7500000
4,1867,1000,7500000
5,1867,1000,7500000
6,1867,1000,7500000
7,1867,1000,7500000
8,1867,1000,7500000
9,1867,1000,7500000
10,1867,1000,7500000
11,1867,1000,7500000
12,1867,1000,7500000
13,1867,1000,7500000
14,1867,1000,7500000
15,1867,1000,7500000
16,1867,1000,7500000
17,1867,1000,7500000
18,1867,1000,7500000
19,1867,1000,7500000
20,1867,1000,7500000
21,1867,1000,7500000
22,1867,1000,7500000
23,1867,1000,7500000
24,1867,1000,7500000
25,1867,1000,7500000
26,1867,1000,7500000
1,1868,1000,7500000
2,1868,1000,7500000
3,1868,1000,7500000
4,1868,1000,7500000
5,1868,1000,7500000
6,1868,1000,7500000
7,1868,1000,7500000
8,1868,1000,7500000
9,1868,1000,7500000
10,1868,1000,7500000
11,1868,1000,7500000
12,1868,1000,7500000
13,1868,1000,7500000
14,1868,1000,7500000
15,1868,1000,7500000
16,1868,1000,7500000
17,1868,1000,7500000
18,1868,1000,7500000
19,1868,1000,7500000
20,1868,1000,7500000
21,1868,1000,7500000
22,1868,1000,7500000
23,1868,1000,7500000
24,1868,1000,7500000
25,1868,1000,7500000
26,1868,1000,7500000
1,1869,1000,7500000
2,1869,1000,7500000
3,1869,1000,7500000
4,1869,1000,7500000
5,1869,1000,7500000
6,1869,1000,7500000
7,1869,1000,7500000
8,1869,1000,7500000
9,1869,1000,7500000
10,1869,1000,7500000
11,1869,1000,7500000
12,1869,1000,7500000
13,1869,1000,7500000
14,1869,1000,7500000
15,1869,1000,7500000
16,1869,1000,7500000
17,1869,1000,7500000
18,1869,1000,7500000
19,1869,1000,7500000
20,1869,1000,7500000
21,1869,1000,7500000
22,1869,1000,7500000
23,1869,1000,7500000
24,1869,1000,7500000
25,1869,1000,7500000
26,1869,1000,7500000
1,1870,1000,7500000
2,1870,1000,7500000
3,1870,1000,7500000
4,1870,1000,7500000
5,1870,1000,7500000
6,1870,1000,7500000
7,1870,1000,7500000
8,1870,1000,7500000
9,1870,1000,7500000
10,1870,1000,7500000
11,1870,1000,7500000
12,1870,1000,7500000
13,1870,1000,7500000
14,1870,1000,7500000
15,1870,1000,7500000
16,1870,1000,7500000
17,1870,1000,7500000
18,1870,1000,7500000
19,1870,1000,7500000
20,1870,1000,7500000
21,1870,1000,7500000
22,1870,1000,7500000
23,1870,1000,7500000
24,1870,1000,7500000
25,1870,1000,7500000
26,1870,1000,7500000
1,1871,1000,7500000
2,1871,1000,7500000
3,1871,1000,7500000
4,1871,1000,7500000
5,1871,1000,7500000
6,1871,1000,7500000
7,1871,1000,7500000
8,1871,1000,7500000
9,1871,1000,7500000
10,1871,1000,7500000
11,1871,1000,7500000
12,1871,1000,7500000
13,1871,1000,7500000
14,1871,1000,7500000
15,1871,1000,7500000
16,1871,1000,7500000
17,1871,1000,7500000
18,1871,1000,7500000
19,1871,1000,7500000
20,1871,1000,7500000
21,1871,1000,7500000
22,1871,1000,7500000
23,1871,1000,7500000
24,1871,1000,7500000
25,1871,1000,7500000
26,1871,1000,7500000
1,1872,1000,7500000
2,1872,1000,7500000
3,1872,1000,7500000
4,1872,1000,7500000
5,1872,1000,7500000
6,1872,1000,7500000
7,1872,1000,7500000
8,1872,1000,7500000
9,1872,1000,7500000
10,1872,1000,7500000
11,1872,1000,7500000
12,1872,1000,7500000
13,1872,1000,7500000
14,1872,1000,7500000
15,1872,1000,7500000
16,1872,1000,7500000
17,1872,1000,7500000
18,1872,1000,7500000
19,1872,1000,7500000
20,1872,1000,7500000
21,1872,1000,7500000
22,1872,1000,7500000
23,1872,1000,7500000
24,1872,1000,7500000
25,1872,1000,7500000
26,1872,1000,7500000
1,1873,1000,7500000
2,1873,1000,7500000
3,1873,1000,7500000
4,1873,1000,7500000
5,1873,1000,7500000
6,1873,1000,7500000
7,1873,1000,7500000
8,1873,1000,7500000
9,1873,1000,7500000
10,1873,1000,7500000
11,1873,1000,7500000
12,1873,1000,7500000
13,1873,1000,7500000
14,1873,1000,7500000
15,1873,1000,7500000
16,1873,1000,7500000
17,1873,1000,7500000
18,1873,1000,7500000
19,1873,1000,7500000
20,1873,1000,7500000
21,1873,1000,7500000
22,1873,1000,7500000
23,1873,1000,7500000
24,1873,1000,7500000
25,1873,1000,7500000
26,1873,1000,7500000
1,1874,1000,7500000
2,1874,1000,7500000
3,1874,1000,7500000
4,1874,1000,7500000
5,1874,1000,7500000
6,1874,1000,7500000
7,1874,1000,7500000
8,1874,1000,7500000
9,1874,1000,7500000
10,1874,1000,7500000
11,1874,1000,7500000
12,1874,1000,7500000
13,1874,1000,7500000
14,1874,1000,7500000
15,1874,1000,7500000
16,1874,1000,7500000
17,1874,1000,7500000
18,1874,1000,7500000
19,1874,1000,7500000
20,1874,1000,7500000
21,1874,1000,7500000
22,1874,1000,7500000
23,1874,1000,7500000
24,1874,1000,7500000
25,1874,1000,7500000
26,1874,1000,7500000
1,1875,1000,7500000
2,1875,1000,7500000
3,1875,1000,7500000
4,1875,1000,7500000
5,1875,1000,7500000
6,1875,1000,7500000
7,1875,1000,7500000
8,1875,1000,7500000
9,1875,1000,7500000
10,1875,1000,7500000
11,1875,1000,7500000
12,1875,1000,7500000
13,1875,1000,7500000
14,1875,1000,7500000
15,1875,1000,7500000
16,1875,1000,7500000
17,1875,1000,7500000
18,1875,1000,7500000
19,1875,1000,7500000
20,1875,1000,7500000
21,1875,1000,7500000
22,1875,1000,7500000
23,1875,1000,7500000
24,1875,1000,7500000
25,1875,1000,7500000
26,1875,1000,7500000
1,1876,1000,7500000
2,1876,1000,7500000
3,1876,1000,7500000
4,1876,1000,7500000
5,1876,1000,7500000
6,1876,1000,7500000
7,1876,1000,7500000
8,1876,1000,7500000
9,1876,1000,7500000
10,1876,1000,7500000
11,1876,1000,7500000
12,1876,1000,7500000
13,1876,1000,7500000
14,1876,1000,7500000
15,1876,1000,7500000
16,1876,1000,7500000
17,1876,1000,7500000
18,1876,1000,7500000
19,1876,1000,7500000
20,1876,1000,7500000
21,1876,1000,7500000
